dependee_net,dependee_node,depender_net,depender_node,coupling_type
Power,13,Water,0,Physical
Power,26,Water,1,Physical
Power,27,Water,1,Physical
Power,28,Water,2,Physical
Power,10,Water,3,Physical
Power,15,Water,4,Physical
Power,16,Water,4,Physical
Power,33,Water,4,Physical
Power,32,Water,5,Physical
Power,25,Water,6,Physical
Power,22,Water,7,Physical
Power,36,Water,7,Physical
Power,35,Water,7,Physical
Power,48,Water,8,Physical
Power,23,Water,8,Physical
Power,49,Water,9,Physical
Power,41,Water,10,Physical
Power,8,Water,11,Physical
Power,6,Water,12,Physical
Power,7,Water,13,Physical
Power,7,Water,14,Physical
Water,30,Power,3,Physical
Power,26,Gas,0,Physical
Power,49,Gas,1,Physical
Power,8,Gas,2,Physical
Gas,9,Power,0,Physical
Gas,3,Power,2,Physical
Power,25,Telecommunication,0,Physical
Power,6,Telecommunication,1,Physical
Power,49,Telecommunication,2,Physical
Power,23,Telecommunication,3,Physical
Power,5,Telecommunication,4,Physical
Power,21,Telecommunication,5,Physical
Power,3,Telecommunication,6,Physical
Power,20,Telecommunication,7,Physical
Power,1,Telecommunication,8,Physical
Power,18,Telecommunication,9,Physical
Power,15,Telecommunication,10,Physical
Power,11,Telecommunication,11,Physical
Power,13,Telecommunication,12,Physical
Power,10,Telecommunication,13,Physical
Power,9,Telecommunication,14,Physical
Power,26,Telecommunication,15,Physical
Power,0,Telecommunication,16,Physical
Power,28,Telecommunication,17,Physical
Power,7,Telecommunication,18,Physical
Power,45,Telecommunication,19,Physical
Power,2,Telecommunication,20,Physical
Power,8,Telecommunication,21,Physical
Power,24,Telecommunication,22,Physical
Telecommunication,0,Power,25,Cyber
Telecommunication,1,Power,6,Cyber
Telecommunication,2,Power,49,Cyber
Telecommunication,3,Power,23,Cyber
Telecommunication,4,Power,5,Cyber
Telecommunication,5,Power,21,Cyber
Telecommunication,6,Power,3,Cyber
Telecommunication,7,Power,20,Cyber
Telecommunication,8,Power,1,Cyber
Telecommunication,9,Power,18,Cyber
Telecommunication,10,Power,15,Cyber
Telecommunication,11,Power,11,Cyber
Telecommunication,12,Power,13,Cyber
Telecommunication,13,Power,10,Cyber
Telecommunication,14,Power,9,Cyber
Telecommunication,15,Power,26,Cyber
Telecommunication,16,Power,0,Cyber
Telecommunication,17,Power,28,Cyber
Telecommunication,18,Power,7,Cyber
Telecommunication,19,Power,45,Cyber
Telecommunication,20,Power,2,Cyber
Telecommunication,21,Power,8,Cyber
Telecommunication,22,Power,24,Cyber
