branch_id,from_bus,to_bus,r_pu,x_pu,b_pu,rateA_mw,length_km
0,71,7,0.0006728,0.006728,0.0,16.8,6.728
1,71,70,0.0006648,0.006647999999999999,0.0,50.0,6.648
2,71,68,0.0008995,0.008995,0.0,16.8,8.995
3,1,31,0.0005,0.005,0.0,58.2,2.838
4,12,10,0.0005,0.005,0.0,85.0,4.11
5,9,10,0.0006318000000000001,0.006318,0.0,50.0,6.318
6,12,9,0.0005,0.005,0.0,15.1,3.913
7,36,3,0.0005,0.005,0.0,27.5,3.947
8,34,36,0.0005,0.005,0.0,1.1,2.519
9,34,18,0.0005,0.005,0.0,14.2,2.045
10,18,17,0.0007341000000000001,0.007341,0.0,50.0,7.341
11,35,3,0.0005,0.005,0.0,25.1,4.213
12,35,33,0.0005,0.005,0.0,50.0,2.659
13,2,33,0.0005,0.005,0.0,49.0,4.3
14,28,15,0.0009415000000000001,0.009415,0.0,22.5,9.415
15,7,8,0.0014954,0.014954,0.0,50.0,14.954
16,72,25,0.0007951,0.007951,0.0,21.0,7.951
17,25,62,0.0005,0.005,0.0,48.8,3.56
18,73,71,0.0010696000000000002,0.010696,0.0,50.0,10.696
19,69,39,0.000917,0.00917,0.0,50.0,9.17
20,68,44,0.0009394,0.009394,0.0,24.0,9.394
21,6,67,0.0008920000000000001,0.00892,0.0,50.0,8.92
22,39,66,0.0005872,0.005872,0.0,50.0,5.872
23,66,57,0.0005,0.005,0.0,23.8,2.461
24,40,57,0.0005,0.005,0.0,23.8,1.517
25,57,38,0.0010283,0.010283,0.0,50.0,10.283
26,3,55,0.0005,0.005,0.0,70.4,2.515
27,55,54,0.0005,0.005,0.0,38.4,0.978
28,54,65,0.0005,0.005,0.0,50.0,3.761
29,54,22,0.0005,0.005,0.0,38.4,2.488
30,65,21,0.0005,0.005,0.0,96.2,1.974
31,65,5,0.0005,0.005,0.0,96.2,4.945
32,5,48,0.0005,0.005,0.0,42.1,3.872
33,63,49,0.0005,0.005,0.0,115.1,4.645
34,4,63,0.0005,0.005,0.0,115.1,0.839
35,20,4,0.0005,0.005,0.0,22.5,4.422
36,50,20,0.0007288,0.007288,0.0,21.4,7.288
37,61,50,0.0005343,0.005343,0.0,69.6,5.343
38,37,31,0.0005,0.005,0.0,50.0,2.522
39,64,37,0.0005,0.005,0.0,27.2,4.165
40,5,64,0.0005,0.005,0.0,27.2,4.362
41,5,64,0.0005,0.005,0.0,27.2,4.351
42,61,13,0.0008457000000000001,0.008457000000000001,0.0,116.8,8.457
43,13,11,0.0005775000000000001,0.005775000000000001,0.0,36.7,5.775
44,74,4,0.0008198000000000001,0.008198,0.0,35.2,8.198
45,69,67,0.0005,0.005,0.0,50.0,4.453
46,70,72,0.0014199,0.014199,0.0,50.0,14.199
47,60,1,0.0005,0.005,0.0,129.0,2.823
48,60,12,0.0005,0.005,0.0,129.0,2.937
49,58,60,0.0005,0.005,0.0,50.0,2.164
50,58,30,0.0005,0.005,0.0,55.2,0.888
51,14,2,0.0005581000000000001,0.005581000000000001,0.0,79.9,5.581
52,2,15,0.0005,0.005,0.0,93.0,3.086
53,15,59,0.0005,0.005,0.0,46.5,1.158
54,27,59,0.0005,0.005,0.0,46.5,4.867
55,59,14,0.0005,0.005,0.0,50.0,4.118
56,32,30,0.0005,0.005,0.0,21.9,3.682
57,32,31,0.0005896,0.005896,0.0,24.8,5.896
58,19,21,0.0005,0.005,0.0,43.5,4.435
59,52,18,0.0005,0.005,0.0,24.3,4.31
60,52,53,0.0005,0.005,0.0,30.8,0.783
61,53,16,0.0005,0.005,0.0,18.4,1.435
62,53,2,0.0005267000000000001,0.005267000000000001,0.0,49.2,5.267
63,51,52,0.0005,0.005,0.0,6.5,0.682
64,29,51,0.0005,0.005,0.0,6.5,1.228
65,0,51,0.0007555000000000001,0.007555,0.0,50.0,7.555
66,0,17,0.0005,0.005,0.0,50.0,3.057
67,0,56,0.0005,0.005,0.0,41.9,3.995
68,28,56,0.0005,0.005,0.0,14.4,3.467
69,56,26,0.0011508,0.011508,0.0,27.5,11.508
70,26,9,0.0011293,0.011293,0.0,50.0,11.293
71,74,47,0.0005,0.005,0.0,35.2,0.401
72,4,46,0.001604,0.01604,0.0,41.5,16.04
73,8,73,0.0006836,0.006836,0.0,21.0,6.836
74,72,73,0.0005,0.005,0.0,21.0,2.952
75,68,45,0.0005,0.005,0.0,40.8,1.239
76,70,69,0.0005,0.005,0.0,50.0,2.792
77,38,3,0.0005859000000000001,0.0058590000000000005,0.0,21.3,5.859
78,24,5,0.0005,0.005,0.0,80.2,3.139
79,24,67,0.0005,0.005,0.0,50.0,0.434
80,55,39,0.0005,0.005,0.0,32.0,4.159
81,6,66,0.0005,0.005,0.0,23.8,0.588
82,6,44,0.0005,0.005,0.0,30.6,1.106
83,23,45,0.0005,0.005,0.0,11.5,1.718
84,62,63,0.0005,0.005,0.0,50.0,0.755
85,4,62,0.0005,0.005,0.0,48.8,1.137
86,11,74,0.0006275,0.006275,0.0,50.0,6.275
87,1,61,0.0005,0.005,0.0,186.4,0.696
88,14,58,0.0005,0.005,0.0,55.2,1.833
89,49,23,0.0005,0.005,0.0,41.7,4.142
90,41,6,0.0005,0.005,0.0,9.8,1.952
91,42,6,0.0005,0.005,0.0,50.0,1.282
92,43,6,0.0005,0.005,0.0,4.5,1.203
