bus_id,bus_type,raw_type,base_kv,lon,lat,pd_mw,qd_mvar
0,3,Gate Station,115.0,-90.14906409,35.07295828,0.0,0.0
1,2,Gate Station,115.0,-89.87813148,35.07533093,0.0,0.0
2,2,Gate Station,115.0,-90.00766863,35.09904434,0.0,0.0
3,2,Gate Station,115.0,-90.02310761,35.18146923,0.0,0.0
4,2,Gate Station,115.0,-89.74330958,35.17561055,0.0,0.0
5,2,Gate Station,115.0,-89.89954409,35.19208594,0.0,0.0
6,2,Gate Station,115.0,-89.96061885,35.27294718,0.0,0.0
7,2,Gate Station,115.0,-89.80356584,35.38565526,0.0,0.0
8,2,Gate Station,115.0,-89.65213079,35.35265298,0.0,0.0
9,1,23kV Substation,23.0,-89.93490245,35.01865615,9.777975497,1.9555950994
10,1,23kV Substation,23.0,-89.8761211,35.04206689,53.84153027,10.768306054
11,1,23kV Substation,23.0,-89.7412622,35.04532996,27.10716836,5.421433672
12,1,23kV Substation,23.0,-89.91668434,35.05058038,19.66908817,3.933817634
13,1,23kV Substation,23.0,-89.79803104,35.04008307,55.7552359,11.15104718
14,1,23kV Substation,23.0,-89.95284021,35.07670017,16.72668359,3.3453367180000004
15,1,23kV Substation,23.0,-90.00982705,35.0712847,16.75704501,3.351409002
16,1,23kV Substation,23.0,-90.05059892,35.08798718,10.80638959,2.161277918
17,1,23kV Substation,23.0,-90.13608062,35.08696814,0.316401109,0.06328022180000001
18,1,23kV Substation,23.0,-90.06367138,35.11537826,6.252251204,1.2504502408000002
19,1,23kV Substation,23.0,-89.96440153,35.13512863,29.64691932,5.929383864
20,1,23kV Substation,23.0,-89.77068835,35.14269557,32.47823896,6.495647792
21,1,23kV Substation,23.0,-89.94870857,35.17296807,36.98167494,7.3963349879999996
22,1,23kV Substation,23.0,-89.9904572,35.17123319,25.97081786,5.194163572000001
23,1,23kV Substation,23.0,-89.83973084,35.18579136,37.7794295,7.5558859
24,1,23kV Substation,23.0,-89.90196651,35.22031369,58.98713969,11.797427938
25,1,23kV Substation,23.0,-89.70905035,35.20725316,48.0024627,9.600492540000001
26,1,12kV Substation,12.0,-90.04743138,34.99827698,19.09654231,3.8193084620000004
27,1,12kV Substation,12.0,-90.00682341,35.03241546,32.69737324,6.539474648
28,1,12kV Substation,12.0,-90.09529954,35.04371994,25.40134154,5.080268308000001
29,1,12kV Substation,12.0,-90.08061442,35.08578017,4.382616987,0.8765233974
30,1,12kV Substation,12.0,-89.93252578,35.08490391,22.90754838,4.5815096760000005
31,1,12kV Substation,12.0,-89.87130544,35.1002902,22.20482407,4.440964814
32,1,12kV Substation,12.0,-89.93019317,35.11647665,32.74613032,6.549226064
33,1,12kV Substation,12.0,-90.01252161,35.1250932,32.10891415,6.42178283
34,1,12kV Substation,12.0,-90.05396491,35.13199354,9.796453251,1.9592906502000003
35,1,12kV Substation,12.0,-90.03048048,35.14398508,16.02433749,3.2048674980000005
36,1,12kV Substation,12.0,-90.05037583,35.15382173,13.44535955,2.68907191
37,1,12kV Substation,12.0,-89.86945614,35.1229727,19.81595579,3.9631911580000003
38,1,12kV Substation,12.0,-90.05574743,35.21084216,12.95349404,2.5906988080000004
39,1,12kV Substation,12.0,-89.9622079,35.21474021,22.71395364,4.542790728
40,1,12kV Substation,12.0,-89.99603025,35.24725386,16.35711169,3.2714223380000003
41,1,12kV Substation,12.0,-89.97150997,35.25778698,6.208486796,1.2416973592
42,1,12kV Substation,12.0,-89.97316408,35.26768477,0.201951604,0.040390320800000004
43,1,12kV Substation,12.0,-89.97353824,35.27523841,2.773539927,0.5547079854
44,1,12kV Substation,12.0,-89.95784035,35.28264806,4.515513246,0.9031026492
45,1,12kV Substation,12.0,-89.89269247,35.34073144,20.54463635,4.108927270000001
46,1,12kV Substation,12.0,-89.65428902,35.07494805,32.95556248,6.591112496
47,1,12kV Substation,12.0,-89.73660434,35.1018594,24.73559969,4.947119938
48,1,12kV Substation,12.0,-89.85857631,35.1863499,30.4131649,6.0826329800000005
49,1,12kV Substation,12.0,-89.79428213,35.18443208,53.68724181,10.737448362000002
50,1,12kV Substation,12.0,-89.82966416,35.09833984,34.45589509,6.891179018
51,1,Intersections point,115.0,-90.07083199,35.07817962,0.0,0.0
52,1,Intersections point,115.0,-90.06336594,35.07778839,0.0,0.0
53,1,Intersections point,115.0,-90.05519945,35.07562048,0.0,0.0
54,1,Intersections point,115.0,-89.99030542,35.19365812,0.0,0.0
55,1,Intersections point,115.0,-90.00086796,35.1949083,0.0,0.0
56,1,Intersections point,115.0,-90.13325859,35.04503356,0.0,0.0
57,1,Intersections point,115.0,-89.98464664,35.25724167,0.0,0.0
58,1,Intersections point,115.0,-89.9327441,35.07690115,0.0,0.0
59,1,Intersections point,115.0,-89.99713573,35.07104942,0.0,0.0
60,1,Intersections point,115.0,-89.90907623,35.07558076,0.0,0.0
61,1,Intersections point,115.0,-89.87064219,35.07653066,0.0,0.0
62,1,Intersections point,115.0,-89.7350198,35.18327037,0.0,0.0
63,1,Intersections point,115.0,-89.74331303,35.18317162,0.0,0.0
64,1,Intersections point,115.0,-89.87746431,35.15944678,0.0,0.0
65,1,Intersections point,115.0,-89.94916624,35.190759,0.0,0.0
66,1,Intersections point,115.0,-89.96076349,35.26765252,0.0,0.0
67,1,Intersections point,115.0,-89.9023013,35.22421338,0.0,0.0
68,1,Intersections point,115.0,-89.89244061,35.32956749,0.0,0.0
69,1,Intersections point,115.0,-89.8766786,35.25840899,0.0,0.0
70,1,Intersections point,115.0,-89.85856119,35.27825539,0.0,0.0
71,1,Intersections point,115.0,-89.81502931,35.32574529,0.0,0.0
72,1,Intersections point,115.0,-89.70248655,35.27867367,0.0,0.0
73,1,Intersections point,115.0,-89.70010204,35.30521163,0.0,0.0
74,1,Intersections point,115.0,-89.74100248,35.10188436,0.0,0.0
