node_id,category,raw_type,lon,lat,demand_rate,population,median_income
0,TANK,Storage Tank,-89.81072359,35.00485525,77.659,71730,80192.0
1,PUMP_STATION,Pumping Station,-90.01350689,35.00723595,60.664,56032,35395.0
2,PUMP_STATION,Pumping Station,-90.1180831,35.02483649,27.494,25395,25607.0
3,PUMP_STATION,Pumping Station,-89.85424473,35.05372432,144.833,133775,57718.0
4,PUMP_STATION,Pumping Station,-90.02756048,35.10091371,70.873,65462,27261.0
5,PUMP_STATION,Pumping Station,-89.93030941,35.114479,134.282,124029,40695.0
6,TANK,Storage Tank,-89.64163653,35.16926573,45.947,42439,102491.0
7,PUMP_STATION,Pumping Station,-90.01471543,35.15647357,107.034,98861,31297.0
8,PUMP_STATION,Pumping Station,-89.8527066,35.18172986,126.834,117150,58400.0
9,TANK,Storage Tank,-89.75838583,35.2006367,88.74,81964,82991.0
10,PUMP_STATION,Pumping Station,-89.94980067,35.246328,78.407,72420,42428.0
11,PUMP_STATION,Pumping Station,-89.67644063,35.32495857,14.713,13590,88576.0
12,TANK,Storage Tank,-90.03358832,35.34209544,8.888,8209,50898.0
13,TANK,Storage Tank,-89.71770387,35.37741124,1.625,1501,72689.0
14,TANK,Storage Tank,-89.80639628,35.38015299,12.007,11091,54522.0
15,DISTRIBUTION,Distribution Node,-89.92918924,35.0209335,-42.651,39395,42319.0
16,DISTRIBUTION,Distribution Node,-89.70606321,35.00136005,-55.167,50955,89417.0
17,DISTRIBUTION,Distribution Node,-89.92818104,35.05285945,-50.204,46371,32160.0
18,DISTRIBUTION,Distribution Node,-89.98241271,35.0639128,-23.187,21417,31606.0
19,DISTRIBUTION,Distribution Node,-90.0328948,35.06443844,-72.332,66809,30488.0
20,DISTRIBUTION,Distribution Node,-90.14727652,35.08710837,-7.493,6921,21445.0
21,DISTRIBUTION,Distribution Node,-90.06847085,35.11676474,-14.845,13711,24414.0
22,DISTRIBUTION,Distribution Node,-89.98516993,35.1094937,-42.635,39379,35620.0
23,DISTRIBUTION,Distribution Node,-89.64006118,35.09718747,-23.465,21673,97706.0
24,DISTRIBUTION,Distribution Node,-89.85851007,35.09762303,-117.6,108621,56597.0
25,DISTRIBUTION,Distribution Node,-89.72815625,35.11757418,-25.743,23777,107085.0
26,DISTRIBUTION,Distribution Node,-90.02180771,35.13117275,-31.052,28681,33172.0
27,DISTRIBUTION,Distribution Node,-89.77845963,35.12779297,-64.456,59535,78113.0
28,DISTRIBUTION,Distribution Node,-90.0308232,35.15991635,-44.205,40830,29168.0
29,DISTRIBUTION,Distribution Node,-89.73747298,35.15500143,-40.688,37581,75503.0
30,DISTRIBUTION,Distribution Node,-89.94613247,35.14673329,-94.542,87323,39877.0
31,DISTRIBUTION,Distribution Node,-89.64455051,35.20059691,-15.775,14570,88977.0
32,DISTRIBUTION,Distribution Node,-90.00878124,35.24010276,-18.855,17415,29311.0
33,DISTRIBUTION,Distribution Node,-89.97022534,35.23640693,-38.4,35468,33365.0
34,DISTRIBUTION,Distribution Node,-89.83747524,35.22671732,-100.632,92949,56778.0
35,DISTRIBUTION,Distribution Node,-89.72321767,35.27321239,-21.836,20169,95229.0
36,DISTRIBUTION,Distribution Node,-90.00917224,35.26743752,-4.787,4421,40054.0
37,DISTRIBUTION,Distribution Node,-89.74869898,35.31577403,-0.503,465,72689.0
38,DISTRIBUTION,Distribution Node,-89.92224945,35.27339114,-18.15,16765,41759.0
39,DISTRIBUTION,Distribution Node,-89.7891992,35.29686482,-8.237,7608,87419.0
40,DISTRIBUTION,Distribution Node,-89.74092873,35.33492696,-1.483,1370,72689.0
41,DISTRIBUTION,Distribution Node,-89.80587325,35.34760639,-4.046,3737,58954.0
42,DISTRIBUTION,Distribution Node,-89.94223051,35.36399391,-2.958,2733,50898.0
43,DISTRIBUTION,Distribution Node,-89.89774729,35.35213419,-7.225,6674,53162.0
44,DISTRIBUTION,Distribution Node,-89.9343417,35.37630835,-0.422,390,56533.0
45,DISTRIBUTION,Distribution Node,-89.89758625,35.37014056,-1.738,1605,51219.0
46,DISTRIBUTION,Distribution Node,-89.93619652,35.39410639,-0.985,910,56533.0
47,DISTRIBUTION,Distribution Node,-89.89335641,35.39353137,-1.408,1301,51863.0
48,DISTRIBUTION,Distribution Node,-89.6504359,35.37893741,-2.295,2119,88793.0
