pipe_id,from_node,to_node,length_km,capacity_u,cost_f,cost_c
0,0,16,9.38,40.5,30773.0,30773.0
1,15,0,11.105,36.849,36434.0,36434.0
2,3,0,6.87,1.0,22538.0,22538.0
3,2,1,11.318,21.303,37133.0,37133.0
4,1,15,9.104,1.362,29869.0,29869.0
5,20,2,9.936,6.081,32598.0,32598.0
6,19,20,10.88,1.0,35696.0,35696.0
7,15,17,3.441,1.0,11290.0,11290.0
8,18,17,5.708,1.0,18728.0,18728.0
9,17,3,6.627,14.752,21743.0,21743.0
10,25,3,19.324,3.15,63399.0,63399.0
11,19,18,4.518,23.768,14822.0,14822.0
12,22,18,5.169,1.0,16958.0,16958.0
13,1,19,6.401,80.362,21000.0,21000.0
14,3,24,5.412,126.351,17756.0,17756.0
15,19,4,3.97,15.531,13024.0,13024.0
16,4,22,4.511,43.333,14801.0,14801.0
17,5,22,5.552,3.67,18215.0,18215.0
18,17,5,6.82,35.211,22377.0,22377.0
19,24,5,6.884,1.0,22586.0,22586.0
20,26,5,8.515,1.0,27935.0,27935.0
21,27,25,4.736,1.0,15539.0,15539.0
22,29,25,4.572,22.954,15000.0,15000.0
23,9,27,8.544,17.638,28033.0,28033.0
24,4,26,3.338,1.0,10953.0,10953.0
25,7,26,2.81,36.943,9220.0,9220.0
26,5,30,4.281,94.864,14046.0,14046.0
27,8,30,9.45,1.0,31004.0,31004.0
28,10,30,11.604,1.0,38071.0,38071.0
29,30,7,7.236,1.0,23739.0,23739.0
30,33,7,9.483,1.0,31112.0,31112.0
31,21,28,6.165,6.909,20228.0,20228.0
32,4,21,4.244,11.726,13923.0,13923.0
33,7,28,1.521,69.662,4990.0,4990.0
34,32,28,9.209,12.114,30213.0,30213.0
35,23,6,7.824,24.36,25670.0,25670.0
36,25,23,9.216,1.0,30235.0,30235.0
37,29,6,10.42,1.0,34185.0,34185.0
38,31,6,4.644,21.403,15237.0,15237.0
39,24,8,12.272,1.0,40263.0,40263.0
40,27,8,8.958,46.032,29391.0,29391.0
41,9,8,8.663,1.0,28421.0,28421.0
42,34,8,5.316,80.295,17440.0,17440.0
43,10,34,11.347,15.589,37228.0,37228.0
44,9,31,10.402,12.342,34127.0,34127.0
45,35,31,12.229,20.564,40121.0,40121.0
46,29,9,5.259,58.405,17253.0,17253.0
47,10,33,2.312,38.957,7586.0,7586.0
48,33,32,4.93,1.0,16176.0,16176.0
49,36,32,2.945,9.44,9662.0,9662.0
50,38,10,4.405,23.547,14453.0,14453.0
51,38,36,10.102,1.0,33142.0,33142.0
52,12,36,11.148,15.178,36574.0,36574.0
53,44,12,9.93,6.326,32579.0,32579.0
54,39,38,14.036,7.551,46051.0,46051.0
55,40,11,5.916,12.536,19410.0,19410.0
56,48,11,6.352,1.576,20840.0,20840.0
57,13,48,6.647,1.0,21807.0,21807.0
58,37,40,2.177,1.0,7142.0,7142.0
59,11,37,6.662,1.0,21856.0,21856.0
60,13,40,5.057,10.982,16592.0,16592.0
61,43,45,1.94,7.941,6365.0,6365.0
62,44,42,1.502,3.591,4928.0,4928.0
63,42,43,4.186,1.0,13732.0,13732.0
64,14,45,9.091,21.462,29826.0,29826.0
65,45,44,3.348,11.094,10983.0,10983.0
66,46,44,1.935,1.0,6348.0,6348.0
67,47,46,3.907,1.0,12817.0,12817.0
68,45,47,2.548,1.0,8360.0,8360.0
69,41,14,3.549,3.098,11643.0,11643.0
70,13,14,7.954,12.601,26095.0,26095.0
