bus,stratum,Pg_MW,Pmax_MW,q_phys_Lps,avail_ratio_72h,requested_m3,delivered_m3,SAET_pub_min,SAET_closed_Pg_min,SAET_closed_Pmax_min
1,Q1_fast,0.0,100.0,64.1,0.645,16608.0,10714.0,>24h,>72h,2255.2
4,Q1_fast,0.0,100.0,64.1,0.574,16608.0,9530.0,>24h,>72h,2248.9
6,Q1_fast,0.0,100.0,64.1,0.476,16608.0,7910.0,>24h,>72h,2152.3
8,Q1_fast,0.0,100.0,64.1,0.518,16608.0,8602.0,>24h,>72h,2253.1
10,never,450.0,550.0,352.4,1.0,91343.0,91343.0,,>72h,>72h
12,Q1_fast,85.0,185.0,118.5,0.533,30725.0,16378.0,750.3,2366.0,1966.8
15,Q1_fast,0.0,100.0,64.1,0.56,16608.0,9296.0,>24h,>72h,2257.9
18,Q2,0.0,100.0,64.1,0.665,16608.0,11040.0,>24h,>72h,2282.1
19,Q2,0.0,100.0,64.1,0.546,16608.0,9074.0,>24h,>72h,2259.9
24,Q2,0.0,100.0,64.1,0.772,16608.0,12827.0,>24h,>72h,2322.6
25,Q2,220.0,320.0,205.0,0.86,53145.0,45702.0,281.8,1985.2,1894.9
26,Q2,314.0,414.0,265.3,0.527,68757.0,36264.0,192.9,1830.9,1781.9
27,Q2,0.0,100.0,64.1,0.88,16608.0,14613.0,>24h,>72h,2326.8
31,Q2,7.0,107.0,68.6,0.664,17770.0,11801.0,>24h,>72h,2218.1
32,Q2,0.0,100.0,64.1,0.889,16608.0,14762.0,>24h,>72h,2327.2
34,Q2,0.0,100.0,64.1,0.919,16608.0,15254.0,>24h,>72h,2329.5
36,Q2,0.0,100.0,64.1,0.964,16608.0,16005.0,>24h,>72h,2332.3
40,Q2,0.0,100.0,64.1,0.986,16608.0,16374.0,>24h,>72h,2338.4
42,Q2,0.0,100.0,64.1,0.961,16608.0,15954.0,>24h,>72h,2332.7
46,Q3,19.0,119.0,76.2,0.985,19763.0,19466.0,>24h,>72h,2254.9
49,Q3,204.0,304.0,194.8,0.996,50488.0,50303.0,305.0,2079.5,1977.0
54,Q3,48.0,148.0,94.8,0.998,24580.0,24525.0,1326.7,>72h,2199.2
55,Q3,0.0,100.0,64.1,0.981,16608.0,16292.0,>24h,>72h,3781.2
56,Q3,0.0,100.0,64.1,0.98,16608.0,16274.0,>24h,>72h,>72h
59,Q3,155.0,255.0,163.4,0.934,42350.0,39560.0,406.1,2283.0,2122.8
61,Q3,160.0,260.0,166.6,0.954,43180.0,41197.0,392.9,2549.1,2381.2
62,Q3,0.0,100.0,64.1,0.981,16608.0,16289.0,>24h,>72h,>72h
65,Q3,391.0,491.0,314.6,0.996,81545.0,81242.0,151.9,2537.2,2503.9
66,Q3,392.0,492.0,315.2,0.997,81711.0,81505.0,151.5,2536.9,2503.8
69,Q4_slow,516.4,805.2,515.9,1.0,133727.0,133727.0,111.4,2502.9,2458.0
70,Q4_slow,0.0,100.0,64.1,0.997,16608.0,16564.0,>24h,>72h,>72h
72,Q4_slow,0.0,100.0,64.1,0.969,16608.0,16094.0,>24h,>72h,2476.5
73,Q4_slow,0.0,100.0,64.1,1.0,16608.0,16608.0,>24h,>72h,>72h
74,Q4_slow,0.0,100.0,64.1,1.0,16608.0,16608.0,>24h,>72h,>72h
76,Q4_slow,0.0,100.0,64.1,1.0,16608.0,16608.0,>24h,>72h,>72h
77,Q4_slow,0.0,100.0,64.1,1.0,16608.0,16608.0,>24h,>72h,>72h
80,never,477.0,577.0,369.7,1.0,95827.0,95827.0,,>72h,>72h
85,Q4_slow,0.0,100.0,64.1,1.0,16608.0,16608.0,>24h,>72h,>72h
87,Q4_slow,4.0,104.0,66.6,1.0,17272.0,17272.0,>24h,>72h,>72h
89,Q2,607.0,707.0,453.0,0.958,117418.0,112529.0,92.4,1809.0,1794.0
90,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
91,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
92,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
99,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
100,never,252.0,352.0,225.5,1.0,58460.0,58460.0,,>72h,>72h
103,never,40.0,140.0,89.7,1.0,23251.0,23251.0,,>72h,>72h
104,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
105,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
107,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
110,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
111,never,36.0,136.0,87.1,1.0,22587.0,22587.0,,>72h,>72h
112,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
113,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
116,never,0.0,100.0,64.1,1.0,16608.0,16608.0,,>72h,>72h
