scan,scenario,label,buses,R_per_min,reserve_frac,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,saet_min,solve_s
DP_over_R,S1_single_bus89,Single bus89,89,0.0025,1.0,DP,True,0.0,0.0,80.06,0.0,88.6,41.1
DP_over_R,S1_single_bus89,Single bus89,89,0.003,1.0,DP,True,0.0,0.0,65.15,0.0,88.6,33.6
DP_over_R,S1_single_bus89,Single bus89,89,0.0035,1.0,DP,True,0.0,0.0,49.33,0.0,88.6,23.9
DP_over_R,S1_single_bus89,Single bus89,89,0.005,1.0,DP,True,0.0,0.0,16.52,0.0,88.6,6.2
DP_over_R,S1_single_bus89,Single bus89,89,0.0075,1.0,DP,True,0.0,0.0,8.77,0.0,88.6,2.3
DP_over_R,S1_single_bus89,Single bus89,89,0.01,1.0,DP,True,0.0,0.0,0.0,0.0,88.6,2.0
DP_over_R,S1_single_bus89,Single bus89,89,0.015,1.0,DP,True,0.0,0.0,0.0,0.0,88.6,1.5
DP_over_R,S1_single_bus89,Single bus89,89,0.02,1.0,DP,True,0.0,0.0,0.0,0.0,88.6,1.3
DP_over_R,S1_single_bus89,Single bus89,89,0.04,1.0,DP,True,0.0,0.0,0.0,0.0,88.6,1.2
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0025,1.0,DP,True,14.24,3.13,143.18,0.0,88.6;116.9;124.8,36.0
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.003,1.0,DP,True,0.0,0.0,138.95,0.0,88.6;116.9;124.8,58.5
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0035,1.0,DP,True,0.0,0.0,124.79,0.0,88.6;116.9;124.8,48.5
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.005,1.0,DP,True,0.0,0.0,75.15,0.0,88.6;116.9;124.8,46.0
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0075,1.0,DP,True,0.0,0.0,36.76,0.0,88.6;116.9;124.8,71.3
DP_over_R,S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,1.0,DP,True,0.0,0.0,36.76,0.0,88.6;116.9;124.8,46.6
