k,subset,buses,lost_MW,PA_feasible,PA_maxdef_MW,PA_energy_MWh,PA_s,SP_feasible,SP_maxdef_MW,SP_energy_MWh,SP_s
1,worst,[89],607.0,True,91.1,7.6,31.0,True,0.0,0.0,2.5
1,rand0,[26],314.0,True,0.0,0.0,1.8,True,0.0,0.0,2.1
1,rand1,[66],392.0,True,0.0,0.0,42.9,True,0.0,0.0,2.2
1,rand2,[65],391.0,True,0.0,0.0,2.2,True,0.0,0.0,2.1
2,worst,"[80, 89]",1084.0,True,155.2,12.9,23.7,True,0.0,0.0,38.7
2,rand0,"[10, 66]",842.0,True,0.0,0.0,2.3,True,0.0,0.0,2.5
2,rand1,"[26, 80]",791.0,True,0.0,0.0,16.5,True,0.0,0.0,36.5
2,rand2,"[10, 66]",842.0,True,0.0,0.0,2.5,True,0.0,0.0,2.6
3,worst,"[10, 80, 89]",1534.0,True,155.1,12.9,27.7,True,0.0,0.0,59.8
3,rand0,"[66, 80, 89]",1476.0,True,155.1,12.9,28.2,True,0.0,0.0,52.2
3,rand1,"[65, 66, 80]",1260.0,True,0.0,0.0,20.1,True,0.0,0.0,33.6
3,rand2,"[26, 66, 80]",1183.0,True,0.0,0.0,24.4,True,0.0,0.0,27.4
4,worst,"[10, 66, 80, 89]",1926.0,True,154.6,12.9,32.0,True,0.0,0.0,43.8
4,rand0,"[10, 26, 65, 89]",1762.0,True,84.4,7.0,12.8,True,0.0,0.0,2.7
4,rand1,"[26, 65, 66, 80]",1574.0,True,0.0,0.0,24.0,True,0.0,0.0,35.7
4,rand2,"[10, 26, 66, 80]",1633.0,True,0.0,0.0,16.7,True,0.0,0.0,35.6
5,worst,"[10, 65, 66, 80, 89]",2317.0,True,146.5,12.2,18.3,True,0.0,0.0,65.0
5,rand0,"[10, 26, 65, 66, 89]",2154.0,True,84.2,7.0,11.5,True,0.0,0.0,2.5
5,rand1,"[26, 65, 66, 80, 89]",2181.0,True,149.8,12.5,31.2,True,0.0,0.0,52.5
5,rand2,"[10, 26, 65, 66, 80]",2024.0,True,0.0,0.0,14.2,True,0.0,0.0,32.0
6,worst,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,21.8,True,0.0,0.0,28.0
6,rand0,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,22.4,True,0.0,0.0,26.9
6,rand1,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,21.3,True,0.0,0.0,26.9
6,rand2,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,21.6,True,0.0,0.0,25.9
