scenario,label,buses,R_per_min,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,horizon_truncated,lost_MW,saet_min,solve_s
S1_single_bus89,Single bus89,89,0.0025,PA,True,474.19,196.84,200.16,0.0,False,607.0,88.6,14.1
S1_single_bus89,Single bus89,89,0.0025,SP,True,0.0,0.0,97.37,0.0,False,607.0,88.6,34.8
S1_single_bus89,Single bus89,89,0.003,PA,True,459.64,157.94,196.83,0.0,False,607.0,88.6,22.9
S1_single_bus89,Single bus89,89,0.003,SP,True,0.0,0.0,90.6,0.0,False,607.0,88.6,55.4
S1_single_bus89,Single bus89,89,0.0035,PA,True,446.0,131.08,193.49,0.0,False,607.0,88.6,12.6
S1_single_bus89,Single bus89,89,0.0035,SP,True,0.0,0.0,83.07,0.0,False,607.0,88.6,51.9
S1_single_bus89,Single bus89,89,0.005,PA,True,414.08,88.78,177.28,0.0,False,607.0,88.6,20.8
S1_single_bus89,Single bus89,89,0.005,SP,True,0.0,0.0,52.46,0.0,False,607.0,88.6,42.2
S1_single_bus89,Single bus89,89,0.0075,PA,True,336.6,53.3,153.35,0.0,False,607.0,88.6,13.6
S1_single_bus89,Single bus89,89,0.0075,SP,True,0.0,0.0,8.79,0.0,False,607.0,88.6,5.3
S1_single_bus89,Single bus89,89,0.01,PA,True,314.95,35.93,151.28,0.0,False,607.0,88.6,20.9
S1_single_bus89,Single bus89,89,0.01,SP,True,0.0,0.0,0.0,0.0,False,607.0,88.6,2.1
S1_single_bus89,Single bus89,89,0.015,PA,True,201.9,16.82,120.96,0.0,False,607.0,88.6,23.3
S1_single_bus89,Single bus89,89,0.015,SP,True,0.0,0.0,0.0,0.0,False,607.0,88.6,1.6
S1_single_bus89,Single bus89,89,0.02,PA,True,91.06,7.59,106.4,0.0,False,607.0,88.6,7.3
S1_single_bus89,Single bus89,89,0.02,SP,True,0.0,0.0,0.0,0.0,False,607.0,88.6,1.4
S1_single_bus89,Single bus89,89,0.04,PA,True,0.0,0.0,70.01,0.0,False,607.0,88.6,4.0
S1_single_bus89,Single bus89,89,0.04,SP,True,0.0,0.0,0.0,0.0,False,607.0,88.6,1.2
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0025,PA,True,697.62,549.18,359.26,0.0,False,1534.0,88.6;116.9;124.8,9.8
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0025,SP,True,119.31,124.82,161.52,0.0,False,1534.0,88.6;116.9;124.8,61.9
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.003,PA,True,613.16,426.78,338.52,0.0,False,1534.0,88.6;116.9;124.8,10.2
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.003,SP,True,59.07,39.72,144.0,0.0,False,1534.0,88.6;116.9;124.8,47.4
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0035,PA,True,529.74,350.18,317.79,0.0,False,1534.0,88.6;116.9;124.8,15.5
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0035,SP,True,22.07,5.92,142.67,0.0,False,1534.0,88.6;116.9;124.8,57.1
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.005,PA,True,410.19,228.68,256.33,0.0,False,1534.0,88.6;116.9;124.8,11.5
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.005,SP,True,0.0,0.0,129.79,0.0,False,1534.0,88.6;116.9;124.8,50.3
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0075,PA,True,372.23,117.9,165.98,0.0,False,1534.0,88.6;116.9;124.8,16.1
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.0075,SP,True,0.0,0.0,71.18,0.0,False,1534.0,88.6;116.9;124.8,45.0
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,PA,True,343.27,71.93,163.4,0.0,False,1534.0,88.6;116.9;124.8,9.5
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.01,SP,True,0.0,0.0,36.76,0.0,False,1534.0,88.6;116.9;124.8,40.0
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.015,PA,True,250.18,28.09,140.66,0.0,False,1534.0,88.6;116.9;124.8,8.0
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.015,SP,True,0.0,0.0,36.76,0.0,False,1534.0,88.6;116.9;124.8,36.1
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.02,PA,True,155.13,12.93,116.42,0.0,False,1534.0,88.6;116.9;124.8,7.9
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.02,SP,True,0.0,0.0,36.76,0.0,False,1534.0,88.6;116.9;124.8,27.8
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.04,PA,True,0.0,0.0,69.37,0.0,False,1534.0,88.6;116.9;124.8,8.8
S2_CO_3unit,"CO (89,80,10)",89;80;10,0.04,SP,True,0.0,0.0,36.76,0.0,False,1534.0,88.6;116.9;124.8,7.1
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0025,PA,True,1214.68,1607.06,340.86,687.97,True,1600.4,107.0;116.9;88.6,5.3
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0025,SP,True,659.37,1219.7,161.87,240.86,True,1600.4,107.0;116.9;88.6,17.8
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.003,PA,True,1175.05,1459.21,330.1,557.89,True,1600.4,107.0;116.9;88.6,4.8
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.003,SP,True,531.39,899.59,145.78,200.82,True,1600.4,107.0;116.9;88.6,15.4
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0035,PA,True,1126.29,1315.88,313.89,430.53,True,1600.4,107.0;116.9;88.6,6.8
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0035,SP,True,423.52,666.56,144.86,164.95,True,1600.4,107.0;116.9;88.6,25.4
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.005,PA,True,980.27,943.92,265.33,215.18,True,1600.4,107.0;116.9;88.6,4.5
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.005,SP,True,209.52,299.54,129.94,57.18,True,1600.4,107.0;116.9;88.6,23.2
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0075,PA,True,752.46,558.88,190.64,86.89,True,1600.4,107.0;116.9;88.6,5.3
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.0075,SP,True,84.96,118.8,71.18,57.12,True,1600.4,107.0;116.9;88.6,30.0
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,PA,True,567.2,341.93,165.61,57.12,True,1600.4,107.0;116.9;88.6,4.7
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.01,SP,True,57.35,95.69,36.76,57.12,True,1600.4,107.0;116.9;88.6,35.2
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.015,PA,True,246.86,159.3,140.65,57.12,True,1600.4,107.0;116.9;88.6,3.3
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.015,SP,True,57.19,95.61,36.76,57.12,True,1600.4,107.0;116.9;88.6,28.2
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.02,PA,True,172.6,112.04,116.47,57.12,True,1600.4,107.0;116.9;88.6,5.8
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.02,SP,True,57.12,95.57,36.76,57.12,True,1600.4,107.0;116.9;88.6,24.0
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.04,PA,True,57.12,80.92,69.38,57.12,True,1600.4,107.0;116.9;88.6,4.3
S3_nk_worst_k3,N-k worst k=3,69;80;89,0.04,SP,True,57.12,95.5,36.76,57.12,True,1600.4,107.0;116.9;88.6,12.6
