gen_id,bus,Pg,Qg,Vg,Pmax,Pmin
1,1,0.0,0.0,0.955,100.0,0.0
2,4,0.0,0.0,0.998,100.0,0.0
3,6,0.0,0.0,0.99,100.0,0.0
4,8,0.0,0.0,1.015,100.0,0.0
5,10,450.0,0.0,1.05,550.0,0.0
6,12,85.0,0.0,0.99,185.0,0.0
7,15,0.0,0.0,0.97,100.0,0.0
8,18,0.0,0.0,0.973,100.0,0.0
9,19,0.0,0.0,0.962,100.0,0.0
10,24,0.0,0.0,0.992,100.0,0.0
11,25,220.0,0.0,1.05,320.0,0.0
12,26,314.0,0.0,1.015,414.0,0.0
13,27,0.0,0.0,0.968,100.0,0.0
14,31,7.0,0.0,0.967,107.0,0.0
15,32,0.0,0.0,0.963,100.0,0.0
16,34,0.0,0.0,0.984,100.0,0.0
17,36,0.0,0.0,0.98,100.0,0.0
18,40,0.0,0.0,0.97,100.0,0.0
19,42,0.0,0.0,0.985,100.0,0.0
20,46,19.0,0.0,1.005,119.0,0.0
21,49,204.0,0.0,1.025,304.0,0.0
22,54,48.0,0.0,0.955,148.0,0.0
23,55,0.0,0.0,0.952,100.0,0.0
24,56,0.0,0.0,0.954,100.0,0.0
25,59,155.0,0.0,0.985,255.0,0.0
26,61,160.0,0.0,0.995,260.0,0.0
27,62,0.0,0.0,0.998,100.0,0.0
28,65,391.0,0.0,1.005,491.0,0.0
29,66,392.0,0.0,1.05,492.0,0.0
30,69,516.4,0.0,1.035,805.2,0.0
31,70,0.0,0.0,0.984,100.0,0.0
32,72,0.0,0.0,0.98,100.0,0.0
33,73,0.0,0.0,0.991,100.0,0.0
34,74,0.0,0.0,0.958,100.0,0.0
35,76,0.0,0.0,0.943,100.0,0.0
36,77,0.0,0.0,1.006,100.0,0.0
37,80,477.0,0.0,1.04,577.0,0.0
38,85,0.0,0.0,0.985,100.0,0.0
39,87,4.0,0.0,1.015,104.0,0.0
40,89,607.0,0.0,1.005,707.0,0.0
41,90,0.0,0.0,0.985,100.0,0.0
42,91,0.0,0.0,0.98,100.0,0.0
43,92,0.0,0.0,0.99,100.0,0.0
44,99,0.0,0.0,1.01,100.0,0.0
45,100,252.0,0.0,1.017,352.0,0.0
46,103,40.0,0.0,1.01,140.0,0.0
47,104,0.0,0.0,0.971,100.0,0.0
48,105,0.0,0.0,0.965,100.0,0.0
49,107,0.0,0.0,0.952,100.0,0.0
50,110,0.0,0.0,0.973,100.0,0.0
51,111,36.0,0.0,0.98,136.0,0.0
52,112,0.0,0.0,0.975,100.0,0.0
53,113,0.0,0.0,0.993,100.0,0.0
54,116,0.0,0.0,1.005,100.0,0.0
