k,subset,buses,lost_MW,PA_feasible,PA_maxdef_MW,PA_energy_MWh,PA_s,SP_feasible,SP_maxdef_MW,SP_energy_MWh,SP_s
1,worst,[89],607.0,True,91.1,7.6,16.5,True,0.0,0.0,2.3
1,rand0,[26],314.0,True,0.0,0.0,1.8,True,0.0,0.0,2.2
1,rand1,[66],392.0,True,0.0,0.0,3.6,True,0.0,0.0,2.0
1,rand2,[65],391.0,True,0.0,0.0,2.1,True,0.0,0.0,2.2
2,worst,"[80, 89]",1084.0,True,155.2,12.9,26.9,True,0.0,0.0,40.7
2,rand0,"[10, 66]",842.0,True,0.0,0.0,2.4,True,0.0,0.0,2.1
2,rand1,"[26, 80]",791.0,True,0.0,0.0,10.6,True,0.0,0.0,23.9
2,rand2,"[10, 66]",842.0,True,0.0,0.0,2.4,True,0.0,0.0,2.1
3,worst,"[10, 80, 89]",1534.0,True,155.1,12.9,18.3,True,0.0,0.0,37.1
3,rand0,"[66, 80, 89]",1476.0,True,155.1,12.9,20.5,True,0.0,0.0,59.4
3,rand1,"[65, 66, 80]",1260.0,True,0.0,0.0,13.1,True,0.0,0.0,24.6
3,rand2,"[26, 66, 80]",1183.0,True,0.0,0.0,22.3,True,0.0,0.0,31.5
4,worst,"[10, 66, 80, 89]",1926.0,True,154.6,12.9,23.8,True,0.0,0.0,30.2
4,rand0,"[10, 26, 65, 89]",1762.0,True,84.4,7.0,11.5,True,0.0,0.0,2.7
4,rand1,"[26, 65, 66, 80]",1574.0,True,0.0,0.0,11.9,True,0.0,0.0,29.7
4,rand2,"[10, 26, 66, 80]",1633.0,True,0.0,0.0,11.1,True,0.0,0.0,25.9
5,worst,"[10, 65, 66, 80, 89]",2317.0,True,146.5,12.2,27.3,True,0.0,0.0,29.6
5,rand0,"[10, 26, 65, 66, 89]",2154.0,True,84.2,7.0,17.6,True,0.0,0.0,2.5
5,rand1,"[26, 65, 66, 80, 89]",2181.0,True,149.8,12.5,21.0,True,0.0,0.0,41.9
5,rand2,"[10, 26, 65, 66, 80]",2024.0,True,0.0,0.0,9.9,True,0.0,0.0,17.1
6,worst,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,20.9,True,0.0,0.0,28.3
6,rand0,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,21.5,True,0.0,0.0,28.2
6,rand1,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,20.9,True,0.0,0.0,27.7
6,rand2,"[10, 26, 65, 66, 80, 89]",2631.0,True,148.1,12.3,21.2,True,0.0,0.0,28.6
