scenario,label,buses,R_per_min,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,horizon_truncated,lost_MW,saet_min,solve_s
S1_single_bus89,Single bus89,89,0.0025,PA,True,474.19,196.07,200.16,0.0,False,607.0,92.4,48.9
S1_single_bus89,Single bus89,89,0.0025,SP,True,0.0,0.0,97.02,0.0,False,607.0,92.4,115.7
S1_single_bus89,Single bus89,89,0.003,PA,True,459.64,157.54,196.83,0.0,False,607.0,92.4,54.8
S1_single_bus89,Single bus89,89,0.003,SP,True,0.0,0.0,87.68,0.0,False,607.0,92.4,105.4
S1_single_bus89,Single bus89,89,0.0035,PA,True,445.93,130.99,193.49,0.0,False,607.0,92.4,66.8
S1_single_bus89,Single bus89,89,0.0035,SP,True,0.0,0.0,78.71,0.0,False,607.0,92.4,71.4
S1_single_bus89,Single bus89,89,0.005,PA,True,414.08,88.78,177.28,0.0,False,607.0,92.4,61.6
S1_single_bus89,Single bus89,89,0.005,SP,True,0.0,0.0,47.24,0.0,False,607.0,92.4,151.5
S1_single_bus89,Single bus89,89,0.0075,PA,True,336.6,53.3,153.35,0.0,False,607.0,92.4,32.9
S1_single_bus89,Single bus89,89,0.0075,SP,True,0.0,0.0,8.79,0.0,False,607.0,92.4,5.3
S1_single_bus89,Single bus89,89,0.01,PA,True,314.95,35.93,151.28,0.0,False,607.0,92.4,16.7
S1_single_bus89,Single bus89,89,0.01,SP,True,0.0,0.0,0.0,0.0,False,607.0,92.4,3.1
S1_single_bus89,Single bus89,89,0.015,PA,True,201.9,16.82,120.96,0.0,False,607.0,92.4,11.5
S1_single_bus89,Single bus89,89,0.015,SP,True,0.0,0.0,0.0,0.0,False,607.0,92.4,2.9
S1_single_bus89,Single bus89,89,0.02,PA,True,91.06,7.59,106.4,0.0,False,607.0,92.4,16.9
S1_single_bus89,Single bus89,89,0.02,SP,True,0.0,0.0,0.0,0.0,False,607.0,92.4,2.4
S1_single_bus89,Single bus89,89,0.04,PA,True,0.0,0.0,70.01,0.0,False,607.0,92.4,20.4
S1_single_bus89,Single bus89,89,0.04,SP,True,0.0,0.0,0.0,0.0,False,607.0,92.4,2.1
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0025,PA,True,1087.13,1363.4,680.45,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,28.0
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0025,SP,True,299.7,474.49,264.13,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,52.2
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.003,PA,True,868.24,984.97,594.93,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,30.2
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.003,SP,True,104.44,85.21,141.17,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,39.9
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0035,PA,True,705.71,730.33,509.41,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,21.9
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0035,SP,True,6.45,0.74,141.68,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,59.8
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.005,PA,True,395.29,291.92,278.67,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,18.3
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.005,SP,True,0.0,0.0,123.73,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,64.3
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0075,PA,True,383.32,116.97,191.75,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,23.4
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.0075,SP,True,0.0,0.0,61.05,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,52.8
