bus_id,type,Pd,Qd,Vm,Va,baseKV
1,3,0.0,0.0,1.0,0.0,135.0
2,2,21.7,12.7,1.0,0.0,135.0
3,1,2.4,1.2,1.0,0.0,135.0
4,1,7.6,1.6,1.0,0.0,135.0
5,1,0.0,0.0,1.0,0.0,135.0
6,1,0.0,0.0,1.0,0.0,135.0
7,1,22.8,10.9,1.0,0.0,135.0
8,1,30.0,30.0,1.0,0.0,135.0
9,1,0.0,0.0,1.0,0.0,135.0
10,1,5.8,2.0,1.0,0.0,135.0
11,1,0.0,0.0,1.0,0.0,135.0
12,1,11.2,7.5,1.0,0.0,135.0
13,2,0.0,0.0,1.0,0.0,135.0
14,1,6.2,1.6,1.0,0.0,135.0
15,1,8.2,2.5,1.0,0.0,135.0
16,1,3.5,1.8,1.0,0.0,135.0
17,1,9.0,5.8,1.0,0.0,135.0
18,1,3.2,0.9,1.0,0.0,135.0
19,1,9.5,3.4,1.0,0.0,135.0
20,1,2.2,0.7,1.0,0.0,135.0
21,1,17.5,11.2,1.0,0.0,135.0
22,2,0.0,0.0,1.0,0.0,135.0
23,2,3.2,1.6,1.0,0.0,135.0
24,1,8.7,6.7,1.0,0.0,135.0
25,1,0.0,0.0,1.0,0.0,135.0
26,1,3.5,2.3,1.0,0.0,135.0
27,2,0.0,0.0,1.0,0.0,135.0
28,1,0.0,0.0,1.0,0.0,135.0
29,1,2.4,0.9,1.0,0.0,135.0
30,1,10.6,1.9,1.0,0.0,135.0
