bus_id,type,Pd,Qd,Vm,Va,baseKV
1,2,51.0,27.0,0.955,10.67,138.0
2,1,20.0,9.0,0.971,11.22,138.0
3,1,39.0,10.0,0.968,11.56,138.0
4,2,39.0,12.0,0.998,15.28,138.0
5,1,0.0,0.0,1.002,15.73,138.0
6,2,52.0,22.0,0.99,13.0,138.0
7,1,19.0,2.0,0.989,12.56,138.0
8,2,28.0,0.0,1.015,20.77,345.0
9,1,0.0,0.0,1.043,28.02,345.0
10,2,0.0,0.0,1.05,35.61,345.0
11,1,70.0,23.0,0.985,12.72,138.0
12,2,47.0,10.0,0.99,12.2,138.0
13,1,34.0,16.0,0.968,11.35,138.0
14,1,14.0,1.0,0.984,11.5,138.0
15,2,90.0,30.0,0.97,11.23,138.0
16,1,25.0,10.0,0.984,11.91,138.0
17,1,11.0,3.0,0.995,13.74,138.0
18,2,60.0,34.0,0.973,11.53,138.0
19,2,45.0,25.0,0.963,11.05,138.0
20,1,18.0,3.0,0.958,11.93,138.0
21,1,14.0,8.0,0.959,13.52,138.0
22,1,10.0,5.0,0.97,16.08,138.0
23,1,7.0,3.0,1.0,21.0,138.0
24,2,13.0,0.0,0.992,20.89,138.0
25,2,0.0,0.0,1.05,27.93,138.0
26,2,0.0,0.0,1.015,29.71,345.0
27,2,71.0,13.0,0.968,15.35,138.0
28,1,17.0,7.0,0.962,13.62,138.0
29,1,24.0,4.0,0.963,12.63,138.0
30,1,0.0,0.0,0.968,18.79,345.0
31,2,43.0,27.0,0.967,12.75,138.0
32,2,59.0,23.0,0.964,14.8,138.0
33,1,23.0,9.0,0.972,10.63,138.0
34,2,59.0,26.0,0.986,11.3,138.0
35,1,33.0,9.0,0.981,10.87,138.0
36,2,31.0,17.0,0.98,10.87,138.0
37,1,0.0,0.0,0.992,11.77,138.0
38,1,0.0,0.0,0.962,16.91,345.0
39,1,27.0,11.0,0.97,8.41,138.0
40,2,66.0,23.0,0.97,7.35,138.0
41,1,37.0,10.0,0.967,6.92,138.0
42,2,96.0,23.0,0.985,8.53,138.0
43,1,18.0,7.0,0.978,11.28,138.0
44,1,16.0,8.0,0.985,13.82,138.0
45,1,53.0,22.0,0.987,15.67,138.0
46,2,28.0,10.0,1.005,18.49,138.0
47,1,34.0,0.0,1.017,20.73,138.0
48,1,20.0,11.0,1.021,19.93,138.0
49,2,87.0,30.0,1.025,20.94,138.0
50,1,17.0,4.0,1.001,18.9,138.0
51,1,17.0,8.0,0.967,16.28,138.0
52,1,18.0,5.0,0.957,15.32,138.0
53,1,23.0,11.0,0.946,14.35,138.0
54,2,113.0,32.0,0.955,15.26,138.0
55,2,63.0,22.0,0.952,14.97,138.0
56,2,84.0,18.0,0.954,15.16,138.0
57,1,12.0,3.0,0.971,16.36,138.0
58,1,12.0,3.0,0.959,15.51,138.0
59,2,277.0,113.0,0.985,19.37,138.0
60,1,78.0,3.0,0.993,23.15,138.0
61,2,0.0,0.0,0.995,24.04,138.0
62,2,77.0,14.0,0.998,23.43,138.0
63,1,0.0,0.0,0.969,22.75,345.0
64,1,0.0,0.0,0.984,24.52,345.0
65,2,0.0,0.0,1.005,27.65,345.0
66,2,39.0,18.0,1.05,27.48,138.0
67,1,28.0,7.0,1.02,24.84,138.0
68,1,0.0,0.0,1.003,27.55,345.0
69,3,0.0,0.0,1.035,30.0,138.0
70,2,66.0,20.0,0.984,22.58,138.0
71,1,0.0,0.0,0.987,22.15,138.0
72,2,12.0,0.0,0.98,20.98,138.0
73,2,6.0,0.0,0.991,21.94,138.0
74,2,68.0,27.0,0.958,21.64,138.0
75,1,47.0,11.0,0.967,22.91,138.0
