bus_id,Va_deg,Va_rad,Pnet_MW
1,14.7071,0.256687,-51.0
2,15.3805,0.268441,-20.0
3,15.6602,0.273322,-39.0
4,19.4587,0.339618,-39.0
5,19.9333,0.347901,0.0
6,17.236,0.300826,-52.0
7,16.8168,0.293509,-19.0
8,25.0194,0.436671,-28.0
9,32.8832,0.573921,0.0
10,41.1854,0.718821,450.0
11,16.9045,0.29504,-70.0
12,16.5017,0.288009,38.0
13,15.3786,0.268407,-34.0
14,15.696,0.273946,-14.0
15,15.0378,0.262459,-90.0
16,16.0616,0.280328,-25.0
17,17.691,0.308766,-11.0
18,15.3401,0.267736,-60.0
19,14.7399,0.25726,-45.0
20,15.4608,0.269841,-18.0
21,16.8594,0.294253,-14.0
22,19.2355,0.335723,-10.0
23,24.0413,0.419601,-7.0
24,23.4449,0.40919,-13.0
25,31.8095,0.55518,220.0
26,33.6758,0.587753,314.0
27,18.7956,0.328044,-71.0
28,17.1815,0.299874,-17.0
29,16.3198,0.284834,-24.0
30,22.5803,0.3941,0.0
31,16.4725,0.287499,-36.0
32,18.1907,0.317488,-59.0
33,14.2467,0.248653,-23.0
34,14.7121,0.256775,-59.0
35,14.2529,0.24876,-33.0
36,14.2483,0.248679,-31.0
37,15.2151,0.265554,0.0
38,20.0882,0.350605,0.0
39,11.7617,0.20528,-27.0
40,10.7266,0.187214,-66.0
41,10.2004,0.178031,-37.0
42,11.6037,0.202523,-96.0
43,14.2909,0.249424,-18.0
44,16.2069,0.282864,-16.0
45,17.7363,0.309557,-53.0
46,20.3624,0.355391,-9.0
47,22.417,0.391251,-34.0
48,21.9396,0.382918,-20.0
49,22.9397,0.400373,117.0
50,20.7447,0.362064,-17.0
51,17.9951,0.314075,-17.0
52,17.0512,0.297599,-18.0
53,16.1126,0.281217,-23.0
54,17.0199,0.297054,-65.0
55,16.7431,0.292222,-63.0
56,16.9242,0.295383,-84.0
57,18.1387,0.31658,-12.0
58,17.2548,0.301152,-12.0
59,21.0995,0.368256,-122.0
60,24.721,0.431462,-78.0
61,25.5909,0.446645,160.0
62,25.0142,0.436581,-77.0
63,24.3259,0.424566,0.0
64,26.0672,0.454958,0.0
65,29.2415,0.510361,391.0
66,29.5387,0.515548,353.0
67,26.565,0.463647,-28.0
68,28.6868,0.500679,0.0
69,30.0,0.523599,381.0
70,23.2849,0.406398,-66.0
71,23.0709,0.402664,0.0
72,22.6048,0.394529,-12.0
73,22.9149,0.39994,-6.0
74,22.0583,0.384991,-68.0
75,23.2638,0.406029,-47.0
76,22.1662,0.386873,-68.0
77,27.6609,0.482773,-61.0
78,27.3593,0.47751,-71.0
79,27.7586,0.484479,-39.0
80,30.4836,0.532039,347.0
81,29.3492,0.51224,0.0
82,28.5264,0.49788,-54.0
83,29.7373,0.519013,-20.0
84,32.1086,0.5604,-11.0
85,33.6641,0.587549,-24.0
86,32.466,0.566639,-21.0
87,32.9414,0.574935,4.0
88,36.8738,0.64357,-48.0
89,41.0725,0.71685,607.0
90,34.8875,0.608901,-163.0
91,34.7584,0.606649,-10.0
92,35.2909,0.615942,-65.0
93,32.313,0.563968,-12.0
94,30.2458,0.527888,-30.0
95,29.0915,0.507742,-42.0
96,28.953,0.505325,-38.0
97,29.3071,0.511506,-15.0
98,29.049,0.507,-34.0
99,28.8475,0.503483,-42.0
100,30.1582,0.526359,215.0
101,31.3838,0.54775,-22.0
102,33.8832,0.591374,-5.0
103,26.7337,0.466591,17.0
104,23.8411,0.416106,-38.0
105,22.8033,0.397993,-31.0
106,22.5337,0.393287,-43.0
107,20.0472,0.34989,-50.0
108,21.8268,0.38095,-2.0
109,21.4598,0.374544,-8.0
110,20.838,0.363691,-39.0
111,22.3953,0.390871,36.0
112,18.3444,0.320171,-68.0
113,17.6654,0.30832,-6.0
114,17.8898,0.312235,-8.0
115,17.8863,0.312174,-22.0
116,28.2598,0.493227,-184.0
117,14.8974,0.260009,-20.0
118,22.266,0.388616,-33.0
