t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,f,Paff_MW,Prest_MW,Pmech_MW,Pload_MW,shed,pump,gen
0.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
4.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
8.0,3.42202,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
12.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
16.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
20.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
24.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
28.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
32.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
36.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
40.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
44.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
48.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
52.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
56.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
60.0,3.42201,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
64.0,3.36831,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
68.0,3.31471,2.7878,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
72.0,3.26119,2.78778,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
76.0,3.20777,2.78776,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
80.0,3.15443,2.78773,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
84.0,3.10117,2.7877,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
88.0,3.048,2.78766,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
92.0,2.99492,2.78762,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
96.0,2.94191,2.78756,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
100.0,2.88898,2.78751,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
104.0,2.83613,2.78744,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
108.0,2.78336,2.78737,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
112.0,2.73066,2.7873,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
116.0,2.67804,2.78722,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
120.0,2.62549,2.78713,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
124.0,2.57301,2.78704,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
128.0,2.5206,2.78694,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
132.0,2.46826,2.78684,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
136.0,2.41599,2.78673,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
140.0,2.36378,2.78662,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
144.0,2.31164,2.7865,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
148.0,2.25957,2.78638,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
152.0,2.20756,2.78626,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
156.0,2.15561,2.78612,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
160.0,2.10372,2.78599,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
164.0,2.0519,2.78585,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
168.0,2.00013,2.7857,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
172.0,1.94842,2.78555,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
176.0,1.89677,2.7854,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
180.0,1.84518,2.78524,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
184.0,1.79364,2.78508,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
188.0,1.74216,2.78491,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
192.0,1.69073,2.78474,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
196.0,1.63936,2.78457,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
200.0,1.58804,2.78439,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
204.0,1.53677,2.78421,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
208.0,1.48555,2.78402,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
212.0,1.43439,2.78383,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
216.0,1.38327,2.78364,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
220.0,1.33221,2.78344,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
224.0,1.28119,2.78324,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
228.0,1.23022,2.78303,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
232.0,1.1793,2.78283,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
236.0,1.12843,2.78261,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
240.0,1.07761,2.7824,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
244.0,1.02683,2.78218,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
248.0,0.97609,2.78196,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
252.0,0.9254,2.78173,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
256.0,0.87476,2.7815,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
260.0,0.82416,2.78127,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
264.0,0.7736,2.78103,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
268.0,0.72309,2.7808,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
272.0,0.67262,2.78055,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
276.0,0.62219,2.78031,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
280.0,0.57181,2.78006,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
284.0,0.52146,2.77981,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
288.0,0.47116,2.77955,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
292.0,0.4209,2.7793,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
296.0,0.37067,2.77903,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
300.0,0.32049,2.77877,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
304.0,0.27035,2.7785,31.815,20.0,25.24025,5.0,1.0,50.0,607.0,3642.0,4249.0,4249.0,0.0,1,1
