t,f,conv,load_MW,Vmin,Vmax,max_util,n_line_trip,lost_MW,deficit_MW
0.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
4.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
8.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
12.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
16.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
20.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
24.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
28.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
32.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
36.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
40.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
44.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
48.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
52.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
56.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
60.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
64.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
68.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
72.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
76.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
80.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
84.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
88.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
92.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
96.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
100.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
104.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
108.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
112.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
116.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
120.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
124.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
128.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
132.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
136.0,50.0,1,4242.0,0.943,1.05,0.6667,0,0.0,0.0
