gen_id,bus,Pg_MW,Pmax_MW,junction,stratum,elev_m,min_head0_m,t_fail_h,dma,makeup_Lps,makeup_rated_Lps,preserved
1,1,0.0,100.0,J154,Q1_fast,43.7,52.0,0.0,DMA1_pat,0.74,3.0,False
2,4,0.0,100.0,J156,Q1_fast,46.2,50.1,0.0,DMA1_pat,0.74,3.0,False
3,6,0.0,100.0,J273,Q1_fast,56.0,40.3,0.0,none,0.74,3.0,False
4,8,0.0,100.0,J102,Q1_fast,37.0,41.3,1.25,DMA1_pat,0.74,3.0,False
5,10,450.0,550.0,J197,never,41.9,60.5,,DMA3_pat,20.0,20.0,True
6,12,85.0,185.0,J162,Q1_fast,36.9,43.7,1.25,DMA1_pat,1.36,5.5,False
7,15,0.0,100.0,J97,Q1_fast,34.2,44.2,1.75,DMA1_pat,0.74,3.0,False
8,18,0.0,100.0,J101,Q2,28.6,48.4,3.75,DMA1_pat,0.74,3.0,False
9,19,0.0,100.0,J1158,Q2,28.2,40.6,3.75,DMA1_pat,0.74,3.0,False
10,24,0.0,100.0,J198,Q2,18.5,50.6,3.75,DMA1_pat,0.74,3.0,False
11,25,220.0,320.0,J314,Q2,14.9,54.9,3.75,DMA1_pat,2.36,9.6,False
12,26,314.0,414.0,J365,Q2,29.8,39.2,3.75,DMA1_pat,3.05,12.4,False
13,27,0.0,100.0,J374,Q2,13.7,56.3,3.75,DMA1_pat,0.74,3.0,False
14,31,7.0,107.0,J5,Q2,22.8,38.0,3.75,DMA1_pat,0.79,3.2,False
15,32,0.0,100.0,J377,Q2,13.1,56.8,6.0,DMA1_pat,0.74,3.0,False
16,34,0.0,100.0,J217,Q2,11.0,59.0,7.0,DMA1_pat,0.74,3.0,False
17,36,0.0,100.0,J179,Q2,15.0,63.9,8.0,DMA1_pat,0.74,3.0,False
18,40,0.0,100.0,J177,Q2,13.1,67.2,9.0,DMA1_pat,0.74,3.0,False
19,42,0.0,100.0,J218,Q2,7.7,63.4,9.0,DMA1_pat,0.74,3.0,False
20,46,19.0,119.0,J1024,Q3,5.8,66.6,9.75,DMA1_pat,0.88,3.6,False
21,49,204.0,304.0,J186,Q3,9.4,69.8,9.75,DMA1_pat,2.24,9.1,False
22,54,48.0,148.0,J180,Q3,8.8,70.5,10.0,DMA1_pat,1.09,4.4,False
23,55,0.0,100.0,J83,Q3,61.1,40.1,11.0,DMA4_pat,0.74,3.0,False
24,56,0.0,100.0,J136,Q3,81.8,41.9,12.5,DMA2_pat,0.74,3.0,False
25,59,155.0,255.0,J283,Q3,94.1,34.5,12.5,DMA2_pat,1.88,7.6,False
26,61,160.0,260.0,J494,Q3,93.8,39.7,12.5,DMA2_pat,1.92,7.8,False
27,62,0.0,100.0,J573,Q3,81.6,42.1,12.5,DMA2_pat,0.74,3.0,False
28,65,391.0,491.0,J27,Q3,82.1,48.5,13.0,DMA2_pat,3.62,14.7,False
29,66,392.0,492.0,J90,Q3,84.0,48.4,13.0,DMA2_pat,3.63,14.8,False
30,69,516.4,805.2,J16,Q4_slow,88.9,43.8,13.25,DMA2_pat,5.94,20.0,False
31,70,0.0,100.0,J318,Q4_slow,53.7,47.4,13.25,DMA4_pat,0.74,3.0,False
32,72,0.0,100.0,J76,Q4_slow,70.0,34.0,13.25,DMA5_pat,0.74,3.0,False
33,73,0.0,100.0,J571,Q4_slow,77.1,56.0,15.0,DMA2_pat,0.74,3.0,False
34,74,0.0,100.0,J59,Q4_slow,57.0,46.1,16.0,DMA5_pat,0.74,3.0,False
35,76,0.0,100.0,J246,Q4_slow,55.0,46.0,18.0,DMA5_pat,0.74,3.0,False
36,77,0.0,100.0,J133,Q4_slow,69.6,60.1,20.75,DMA2_pat,0.74,3.0,False
37,80,477.0,577.0,J371,never,68.8,63.9,,none,20.0,20.0,True
38,85,0.0,100.0,J321,Q4_slow,44.6,56.3,20.75,DMA4_pat,0.74,3.0,False
39,87,4.0,104.0,J91,Q4_slow,64.1,59.5,67.0,DMA2_pat,0.77,3.1,False
40,89,607.0,707.0,J411,Q2,8.9,62.9,9.0,DMA1_pat,20.0,20.0,True
41,90,0.0,100.0,J1169,never,55.4,45.9,,DMA3_pat,0.74,3.0,False
42,91,0.0,100.0,J145,never,47.5,53.1,,DMA3_pat,0.74,3.0,False
43,92,0.0,100.0,J157,never,31.5,69.1,,DMA3_pat,0.74,3.0,False
44,99,0.0,100.0,J184,never,56.1,44.5,,DMA3_pat,0.74,3.0,False
45,100,252.0,352.0,J222,never,32.0,46.0,,DMA2_pat,2.6,10.6,False
46,103,40.0,140.0,J255,never,35.3,66.6,,DMA3_pat,1.03,4.2,False
47,104,0.0,100.0,J29,never,49.0,35.6,,DMA2_pat,0.74,3.0,False
48,105,0.0,100.0,J32,never,45.0,39.3,,DMA2_pat,0.74,3.0,False
49,107,0.0,100.0,J347,never,54.4,46.9,,DMA3_pat,0.74,3.0,False
50,110,0.0,100.0,J355,never,28.9,69.4,,DMA4_pat,0.74,3.0,False
51,111,36.0,136.0,J364,never,65.0,67.7,,none,1.0,4.1,False
52,112,0.0,100.0,J406,never,71.7,60.9,,none,0.74,3.0,False
53,113,0.0,100.0,J504,never,66.7,66.6,,DMA2_pat,0.74,3.0,False
54,116,0.0,100.0,J94,never,30.8,69.8,,DMA3_pat,0.74,3.0,False
