bus,junction,stratum_map,stratum_new,t_fail_map_h,t_fail_new_h
1,J154,Q1_fast,Q1_fast,0.0,0.0
4,J156,Q1_fast,Q1_fast,0.0,0.0
6,J273,Q1_fast,Q1_fast,0.0,0.0
8,J102,Q1_fast,Q1_fast,1.25,1.25
10,J197,never,never,,
12,J162,Q1_fast,Q1_fast,1.25,1.25
15,J97,Q1_fast,Q1_fast,1.75,1.75
18,J101,Q2,Q2,3.75,3.75
19,J1158,Q2,Q2,3.75,3.75
24,J198,Q2,Q2,3.75,3.75
25,J314,Q2,Q2,3.75,3.75
26,J365,Q2,Q2,3.75,3.75
27,J374,Q2,Q2,3.75,3.75
31,J5,Q2,Q2,3.75,3.75
32,J377,Q2,Q2,6.0,6.0
34,J217,Q2,Q2,7.0,7.0
36,J179,Q2,Q2,8.0,8.0
40,J177,Q2,Q2,9.0,9.0
42,J218,Q2,Q2,9.0,9.0
46,J1024,Q3,Q3,9.75,9.75
49,J186,Q3,Q3,9.75,9.75
54,J180,Q3,Q3,10.0,10.0
55,J83,Q3,Q3,11.0,11.0
56,J136,Q3,Q3,12.5,12.5
59,J283,Q3,Q3,12.5,12.5
61,J494,Q3,Q3,12.5,12.5
62,J573,Q3,Q3,12.5,12.5
65,J27,Q3,Q3,13.0,13.0
66,J90,Q3,Q3,13.0,13.0
69,J16,Q4_slow,Q4_slow,13.25,13.25
70,J318,Q4_slow,Q4_slow,13.25,13.25
72,J76,Q4_slow,Q4_slow,13.25,13.25
73,J571,Q4_slow,Q4_slow,15.0,15.0
74,J59,Q4_slow,Q4_slow,16.0,16.0
76,J246,Q4_slow,Q4_slow,18.0,18.0
77,J133,Q4_slow,Q4_slow,20.75,20.75
80,J371,never,never,,
85,J321,Q4_slow,Q4_slow,20.75,20.75
87,J91,Q4_slow,Q4_slow,67.0,67.0
89,J411,Q2,Q2,9.0,9.0
90,J1169,never,never,,
91,J145,never,never,,
92,J157,never,never,,
99,J184,never,never,,
100,J222,never,never,,
103,J255,never,never,,
104,J29,never,never,,
105,J32,never,never,,
107,J347,never,never,,
110,J355,never,never,,
111,J364,never,never,,
112,J406,never,never,,
113,J504,never,never,,
116,J94,never,never,,
