k,subset,buses,lost_MW,PA_feasible,PA_maxdef_MW,PA_energy_MWh,PA_s,SP_feasible,SP_maxdef_MW,SP_energy_MWh,SP_s
1,worst,[89],607.0,True,91.1,7.6,7.1,True,0.0,0.0,1.8
1,rand0,[31],7.0,True,0.0,0.0,2.0,True,0.0,0.0,1.5
1,rand1,[59],155.0,True,0.0,0.0,1.6,True,0.0,0.0,1.2
1,rand2,[111],36.0,True,0.0,0.0,1.4,True,0.0,0.0,1.4
2,worst,"[69, 89]",1123.4,True,108.6,9.0,26.4,True,0.0,0.0,1.5
2,rand0,"[61, 100]",412.0,True,0.0,0.0,1.5,True,0.0,0.0,1.4
2,rand1,"[26, 46]",333.0,True,0.0,0.0,1.5,True,0.0,0.0,1.6
2,rand2,"[59, 100]",407.0,True,0.0,0.0,1.6,True,0.0,0.0,1.4
3,worst,"[69, 80, 89]",1600.4,True,172.6,112.0,5.6,True,57.1,95.6,24.7
3,rand0,"[10, 59, 65]",996.0,True,0.0,0.0,1.5,True,0.0,0.0,1.4
3,rand1,"[12, 25, 111]",341.0,True,0.0,0.0,1.7,True,0.0,0.0,1.4
3,rand2,"[54, 66, 100]",692.0,True,0.0,0.0,2.8,True,0.0,0.0,1.4
6,worst,"[10, 65, 66, 69, 80, 89]",2833.4,True,172.1,112.1,6.7,True,57.5,96.0,17.9
6,rand0,"[10, 12, 61, 65, 87, 100]",1342.0,True,0.0,0.0,2.1,True,0.0,0.0,1.3
6,rand1,"[26, 31, 46, 66, 89, 100]",1591.0,True,154.5,12.9,11.5,True,0.0,0.0,1.4
6,rand2,"[25, 31, 46, 59, 66, 69]",1309.4,True,161.9,22.7,1.7,True,0.0,0.0,1.2
9,worst,"[10, 25, 26, 65, 66, 69, 80, 89, 100]",3619.4,True,215.6,115.9,3.4,True,58.0,96.6,11.0
9,rand0,"[10, 25, 61, 65, 66, 87, 89, 100, 111]",2512.0,True,149.4,12.4,4.1,True,0.0,0.0,1.3
9,rand1,"[46, 54, 59, 61, 69, 80, 87, 89, 103]",2026.4,True,206.3,156.3,4.6,True,84.2,144.7,13.1
9,rand2,"[10, 31, 61, 65, 66, 69, 89, 103, 111]",2599.4,True,137.3,11.4,18.7,True,0.0,0.0,1.6
12,worst,"[10, 25, 26, 49, 59, 61, 65, 66, 69, 80, 89, 100]",4138.4,True,223.4,143.9,3.4,True,76.8,128.2,10.8
12,rand0,"[10, 12, 25, 26, 46, 59, 65, 69, 80, 87, 103, 111]",2707.4,True,311.8,118.9,3.0,True,0.0,0.0,5.6
12,rand1,"[10, 12, 49, 61, 65, 66, 69, 80, 87, 100, 103, 111]",3007.4,True,307.6,113.8,3.3,True,0.0,0.0,10.2
12,rand2,"[10, 25, 46, 54, 59, 65, 66, 69, 80, 87, 100, 111]",2960.4,True,309.5,123.8,2.9,True,1.1,0.1,10.9
