from_bus,to_bus,Pflow_MW
1,2,-11.766
1,3,-39.234
4,5,-103.794
3,5,-69.055
5,6,87.176
6,7,35.176
8,9,-450.0
8,5,337.535
9,10,-450.0
4,11,64.794
5,11,77.509
11,12,35.87
2,12,-31.766
3,12,-9.179
7,12,16.176
11,13,36.434
12,14,19.891
13,15,2.434
14,15,5.891
12,16,9.21
15,17,-105.967
16,17,-15.79
17,18,81.249
18,19,21.249
19,20,-10.753
15,19,13.194
20,21,-28.753
21,22,-42.753
22,23,-52.753
23,24,21.159
23,25,-169.475
26,25,88.822
25,27,139.347
27,28,32.948
28,29,15.948
30,17,229.097
8,30,84.465
26,30,225.178
17,31,13.606
29,31,-8.052
23,32,88.563
31,32,-30.445
27,32,13.982
15,33,11.098
19,34,0.196
35,36,0.79
35,37,-33.79
33,37,-11.902
34,36,30.21
34,37,-93.387
38,37,242.571
37,39,56.861
37,40,46.631
30,38,80.547
39,40,29.861
40,41,18.858
40,42,-8.365
41,42,-18.142
43,44,-13.627
34,43,4.373
44,45,-29.627
45,46,-33.801
46,47,-28.236
46,48,-14.565
47,49,-14.595
42,49,-61.254
42,49,-61.254
45,49,-48.826
48,49,-34.565
49,50,50.943
49,51,62.992
51,52,28.019
52,53,10.019
53,54,-12.981
49,54,35.751
49,54,35.505
54,55,6.834
54,56,17.493
55,56,-20.933
56,57,-21.943
50,57,33.943
56,58,-5.972
51,58,17.972
54,59,-31.052
56,59,-29.033
56,59,-30.491
55,59,-35.233
59,60,-43.59
59,61,-52.259
60,61,-112.466
60,62,-9.124
61,62,26.767
63,59,151.96
63,64,-151.96
64,61,31.493
38,65,-162.024
64,65,-183.453
49,66,-125.326
49,66,-125.326
62,66,-36.223
62,67,-23.134
65,66,-14.992
66,67,51.134
65,68,60.515
47,69,-47.641
49,69,-38.033
68,69,-66.252
69,70,92.284
24,70,0.679
70,71,10.52
24,72,7.48
71,72,4.52
71,73,6.0
70,74,16.181
70,75,0.262
69,75,96.369
74,75,-51.819
76,77,-64.797
69,77,40.421
75,77,-38.391
77,78,42.442
78,79,-28.558
77,80,-101.58
77,80,-46.92
79,80,-67.558
68,81,-57.233
81,80,-57.233
77,82,-17.71
82,83,-57.663
83,84,-31.354
83,85,-46.308
84,85,-42.354
85,86,17.0
86,87,-4.0
85,88,-54.922
85,89,-74.74
88,89,-102.922
89,90,57.42
89,90,108.274
90,91,2.694
89,92,199.818
89,92,63.825
91,92,-7.306
92,93,61.29
92,94,55.73
93,94,49.29
94,95,46.419
80,96,14.678
82,96,-14.047
94,96,25.965
80,97,21.984
80,98,23.185
80,99,13.862
92,100,30.367
94,100,2.636
95,96,4.419
96,97,-6.984
98,100,-10.815
99,100,-28.138
100,101,-16.95
92,102,43.95
101,102,-38.95
100,103,113.844
100,104,54.046
103,104,31.872
103,105,42.215
100,106,58.11
104,105,47.918
105,106,8.604
105,107,26.286
105,108,24.243
106,107,23.714
108,109,22.243
103,110,56.757
109,110,14.243
110,111,-36.0
110,112,68.0
17,113,1.484
32,113,4.516
32,114,8.583
27,115,21.417
114,115,0.583
68,116,184.0
12,117,20.0
75,118,36.203
76,118,-3.203
